text,Description
ikea shirt,shopping
fee payment,other
hold transfer,other
adida WATCH,shopping
transfer adjustment,other
debi debit,other
gaana SHOW,entertainment
mandate credit,other
lenskar gear,shopping
ecs txn,other
VISTAR transfer,travel
TRAIN snack,food
psplus movi,entertainment
mcdonald lunch,food
blinki bread,food
flight snacks,travel
flight snacks,travel
sony game,entertainment
xbox ticket,entertainment
primevideo movie,entertainment
ikea gear,shopping
hold amount,other
HOTSTAR music,entertainment
flight snacks,travel
flight snacks,travel
AUTO fee,other
amoun entry,other
train trip,travel
charg debit,other
TRAIN snacks,food
tacobel parcel,food
zoomcar seat,travel
decathlon items,shopping
rapido BOOKING,travel
lenskar jeans,shopping
MEESHO purchas,shopping
ajio BAG,shopping
eatfi wrap,food
kfc pizza,food
hm items,shopping
puma purchase,shopping
zara purchase,shopping
indigo parking,travel
box8 wrap,food
decathlon items,shopping
revv transfer,travel
rapido toll,travel
fligh snacks,travel
fee transfer,other
BOX8 BIRYAN,food
fligh SNACKS,travel
ubereats rice,food
bigbasket shake,food
subway rice,food
faasos shake,food
grocery BASKE,shopping
irctc commute,travel
indigo shuttle,travel
meesh shirt,shopping
MANDATE ECS,other
prime sub,entertainment
airindia fare,travel
ZEE5 concert,entertainment
hotstar MOVIE,entertainment
amazon order,shopping
entry payment,other
audible subscription,entertainment
REVV ticket,travel
renewal entry,other
airport meal,food
PRIMEVIDEO ENTRY,entertainment
balance amount,other
airport buffet,food
meesho set,shopping
revv fare,travel
transfer transfer,other
trai meal,food
flipkart shirt,shopping
nike purchase,shopping
audible show,entertainment
psplus pass,entertainment
nykaa bag,shopping
flight snacks,travel
airindia TOLL,travel
vistara ride,travel
instamart buffet,food
ZEE5 clas,entertainment
instamar shake,food
audible PASS,entertainment
nike gear,shopping
primevideo show,entertainment
primevideo music,entertainment
airindia toll,travel
BALANCE ecs,other
grocery BASKET,shopping
DEBIT renewal,other
airport TRANSFER,travel
dmart basket,shopping
rapido fare,travel
lyft ride,travel
pro sub,entertainment
stea stream,entertainment
dmart basket,shopping
metro FARE,travel
sony ticket,entertainment
LYFT commute,travel
amazon jeans,shopping
myntra gear,shopping
UNKNOWN charge,other
netflix pass,entertainment
bigbasket SHAKE,food
flight snacks,travel
mcdonalds wrap,food
revv transfer,travel
adidas watch,shopping
GROCERY BASKE,shopping
eatfit wrap,food
ZARA bag,shopping
mandate debit,other
bookmyshow MUSIC,entertainment
audible EVENT,entertainment
STARBUCKS dinner,food
IKEA set,shopping
irctc booking,travel
processin txn,other
bookmysho EVENT,entertainment
stea entr,entertainment
adjustment credit,other
uber ride,travel
renewal unknown,other
bikanervala biryani,food
uber commute,travel
ZEE5 game,entertainment
AIRPORT snacks,food
FEE SERVICE,other
transfer RENEWA,other
decathlon jacket,shopping
train snacks,travel
transfer ecs,other
misc adjustment,other
service ecs,other
PAYMENT payment,other
transfer ADJUSTMENT,other
txn auto,other
irctc pass,travel
bus toll,travel
LYFT shuttle,travel
bigbasket roll,food
ola pass,travel
subway burger,food
INSTAMART combo,food
indigo trip,travel
flight snack,travel
unknown transfer,other
IKEA jeans,shopping
fee service,other
DMART BASKET,shopping
renewal unknow,other
fee hold,other
hotstar ticket,entertainment
spiceje parkin,travel
fee credi,other
OLA ride,travel
instamart THALI,food
payment txn,other
tacobell BREAD,food
meesho bag,shopping
airpor bread,food
zara WATCH,shopping
AIRPORT SNACKS,food
airpor meal,food
ecs charge,other
bigbasket meal,food
eatfi thali,food
audible show,entertainment
AMAZON items,shopping
flight snacks,travel
nike order,shopping
AIRPORT snacks,food
gaana subscription,entertainment
DECATHLON shoes,shopping
REVV trip,travel
credit misc,other
croma jeans,shopping
dmart basket,shopping
hotstar music,entertainment
uber fare,travel
psplus even,entertainment
GAANA game,entertainment
airport SEAT,travel
lyft ride,travel
zepto LUNCH,food
balance fee,other
charge auto,other
processin amount,other
ecs hold,other
meesho jacket,shopping
CHARG debit,other
zoomca transfe,travel
amazon purchase,shopping
zee5 movie,entertainment
faasos snacks,food
airport pass,travel
myntra JACKET,shopping
zepto meal,food
spotify ENTR,entertainment
txn mandate,other
xbox pass,entertainment
SPICEJE ticket,travel
debit ECS,other
LENSKART items,shopping
AMAZON jacket,shopping
prime sub,entertainment
subway burger,food
nike cart,shopping
NETFLIX entry,entertainment
unknown PROCESSING,other
plus sub,entertainment
ajio jacket,shopping
service FEE,other
airport pizza,food
fee RENEWAL,other
spotify GAME,entertainment
revv shuttle,travel
fee debit,other
dmart basket,shopping
primevideo MUSIC,entertainment
audible rental,entertainment
hotstar game,entertainment
gaana entry,entertainment
meesho basket,shopping
mcdonalds WRAP,food
fee MISC,other
MANDATE RENEWA,other
subway LUNCH,food
hold fee,other
txn renewal,other
renewa renewal,other
grocery basket,shopping
faasos dinner,food
bookmyshow subscription,entertainment
audible ticke,entertainment
SPOTIFY entry,entertainment
amazon BASKET,shopping
subway coffee,food
meesho basket,shopping
dmart BASKE,shopping
airport meal,food
xbox concert,entertainment
zoomcar commute,travel
HOTSTAR game,entertainment
dmart BASKET,shopping
train snacks,travel
hotstar CLASS,entertainment
tacobell roll,food
fee TRANSFER,other
grocer BASKET,shopping
decathlon order,shopping
PRIME sub,entertainment
ajio SHIR,shopping
bookmysho class,entertainment
processing amount,other
plus sub,entertainment
flight snacks,travel
ajio watch,shopping
unknown transfer,other
ola transfer,travel
zee5 stream,entertainment
puma ITEMS,shopping
BUS PARKING,travel
train snack,travel
spotify movie,entertainment
lenskart watch,shopping
youtube game,entertainment
revv TICKET,travel
bus COMMUT,travel
PRO sub,entertainment
zee5 CLASS,entertainment
zomato roll,food
zoomcar RIDE,travel
spotify concert,entertainment
NETFLIX pass,entertainment
decathlon watch,shopping
AMOUNT AUTO,other
trai snacks,food
hotstar musi,entertainment
ola shuttle,travel
HALDIRAM shake,food
zara cart,shopping
hm bag,shopping
NYKAA purchas,shopping
PUMA shoe,shopping
adidas item,shopping
vistara booking,travel
primevideo show,entertainment
flipkart jacket,shopping
mandat renewa,other
dmart basket,shopping
flight snacks,travel
AIRPORT meal,food
uber transfer,travel
SONY entry,entertainment
misc txn,other
train SNACK,food
charge ecs,other
steam entry,entertainment
zepto comb,food
rapido parking,travel
auto unknow,other
tacobell meal,food
irctc ride,travel
gaana pass,entertainment
hotstar subscription,entertainment
bigbasket brea,food
renewal payment,other
GAANA TICKET,entertainment
mandat payment,other
IRCTC parking,travel
prime sub,entertainment
amazon jeans,shopping
trai booking,travel
train snacks,travel
myntr jeans,shopping
mcdonalds dinner,food
lenskart purchase,shopping
PAYMEN amount,other
adjustment HOLD,other
dmar baske,shopping
subway parcel,food
BLINKIT wrap,food
prim sub,entertainment
spotify subscription,entertainment
GROCERY basket,shopping
processin ecs,other
puma order,shopping
kfc buffet,food
dmart basket,shopping
grocery basket,shopping
spicejet shuttle,travel
nike PURCHASE,shopping
spotify event,entertainment
spicejet booking,travel
mandate payment,other
AUTO txn,other
train snacks,travel
zepto combo,food
BOX8 pizza,food
audible ticke,entertainment
metro booking,travel
airport snack,food
bigbasket combo,food
zoomcar ride,travel
bus RIDE,travel
rapido pass,travel
decathlon order,shopping
croma bag,shopping
behrou parcel,food
DMAR basket,shopping
bus transfer,travel
unknow txn,other
ikea gear,shopping
uber ride,travel
train meal,food
hm item,shopping
grocery baske,shopping
starbucks biryani,food
revv commut,travel
ikea cart,shopping
indigo TRANSFER,travel
faasos lunch,food
instamart roll,food
netflix music,entertainment
entry TRANSFER,other
mcdonalds shak,food
pro sub,entertainment
ajio shir,shopping
bus transfer,travel
CROM items,shopping
spotify ticket,entertainment
airindia transfe,travel
mandate entry,other
zara cart,shopping
croma shoes,shopping
irctc parking,travel
uber ticket,travel
PRIME sub,entertainment
train snacks,travel
renewal entry,other
bookmyshow event,entertainment
zomato wrap,food
revv ticket,travel
rapido commute,travel
FAASOS meal,food
service auto,other
zee5 MOVIE,entertainment
airindia toll,travel
irctc journey,travel
ajio shirt,shopping
zoomcar SEAT,travel
instamart snacks,food
payment fee,other
irctc shuttle,travel
blinki meal,food
TRAIN snacks,food
audible game,entertainment
zoomcar shuttle,travel
bus transfer,travel
sony movi,entertainment
train snacks,food
box8 comb,food
ola trip,travel
trai SNACKS,food
psplus class,entertainment
ajio ITEM,shopping
puma jacket,shopping
lyft commute,travel
youtube musi,entertainment
bigbasket lunch,food
trai snack,travel
zara jean,shopping
sony stream,entertainment
flight snacks,travel
lenskar set,shopping
processing paymen,other
AMAZON bag,shopping
trai MEAL,food
audible concer,entertainment
psplus movie,entertainment
grocery basket,shopping
bookmyshow stream,entertainment
PROCESSING payment,other
amazon orde,shopping
blinkit burger,food
nike items,shopping
indigo shuttle,travel
dmart basket,shopping
airport meal,food
amazon cart,shopping
mandate charge,other
myntra set,shopping
metro PASS,travel
youtube subscription,entertainment
irctc fare,travel
audible show,entertainment
charge renewal,other
PRIMEVIDEO show,entertainment
hold service,other
TRAIN MEAL,food
txn credit,other
amazon ORDER,shopping
sony ticket,entertainment
xbox entry,entertainment
lyft ticket,travel
revv pass,travel
tacobell lunch,food
NIKE watc,shopping
CREDIT entr,other
airport THALI,food
zoomcar booking,travel
credit balance,other
BOX8 burge,food
ECS auto,other
mandate TRANSFER,other
zee5 rental,entertainment
decathlon shirt,shopping
airindia shuttle,travel
ZEE5 movie,entertainment
lenskart purchase,shopping
PRIM sub,entertainment
NIKE purchase,shopping
nyka cart,shopping
mcdonalds milk,food
FLIGHT snacks,travel
lyft fare,travel
flight snacks,travel
irctc seat,travel
ajio ORDE,shopping
sony MUSIC,entertainment
netflix EVENT,entertainment
zomato dinner,food
stea PASS,entertainment
dmart basket,shopping
TRAIN snack,travel
credit fee,other
steam subscription,entertainment
airport meal,food
primevideo even,entertainment
hm shoe,shopping
instamart BUFFET,food
airport snack,food
spotify game,entertainment
transfer MANDATE,other
flight snacks,travel
plus sub,entertainment
zoomcar bookin,travel
nike order,shopping
sony show,entertainment
credit mandate,other
nykaa jacke,shopping
entr processing,other
amazo cart,shopping
eatfit parcel,food
indig parking,travel
decathlon bag,shopping
meesho jeans,shopping
meesh order,shopping
ZARA purchase,shopping
blinkit buffe,food
airport toll,travel
CROMA order,shopping
flipkar ITEMS,shopping
AUTO adjustment,other
AJIO basket,shopping
zara order,shopping
hotstar rental,entertainment
primevideo movi,entertainment
gaana rental,entertainment
bookmyshow pass,entertainment
zoomcar journey,travel
faasos BREAD,food
misc transfer,other
flight snack,travel
haldirams ROLL,food
metr shuttle,travel
psplus concert,entertainment
rapido toll,travel
steam class,entertainment
flight snacks,travel
xbox pass,entertainment
AIRPORT snacks,food
zee5 event,entertainment
misc ecs,other
unknown entry,other
service renewal,other
AMAZON basket,shopping
train snacks,food
MISC entry,other
decathlon baske,shopping
haldirams dinner,food
charge ecs,other
ubereats coffee,food
ola journey,travel
RENEWAL FEE,other
train snack,travel
metro shuttle,travel
starbucks pizza,food
train SNACKS,travel
txn entry,other
METRO fare,travel
FEE charge,other
zomato pizz,food
eatfit parcel,food
puma shirt,shopping
decathlo cart,shopping
UBER pass,travel
CROMA GEAR,shopping
tacobell combo,food
bikanerval roll,food
trai transfer,travel
debit mandate,other
puma bag,shopping
ADJUSTMENT txn,other
psplus subscription,entertainment
spotify GAME,entertainment
indigo seat,travel
trai SNACKS,travel
AIRPORT snack,food
AIRPORT transfer,travel
zomato BREAD,food
hm shirt,shopping
train SNACKS,travel
irct transfe,travel
indigo seat,travel
MANDATE ADJUSTMENT,other
lyft SHUTTLE,travel
debit UNKNOWN,other
service payment,other
lenskart items,shopping
airindia trip,travel
train snacks,food
charge amoun,other
zara GEAR,shopping
zee5 subscription,entertainment
metro ticket,travel
VISTARA ticket,travel
tacobell COMBO,food
netflix rental,entertainment
indigo pass,travel
revv shuttle,travel
AIRPOR SNACK,food
debit unknown,other
ajio shirt,shopping
ola journey,travel
bus commute,travel
croma watch,shopping
ubereats milk,food
bikanervala milk,food
MISC ecs,other
train meal,food
instamart wrap,food
irctc fare,travel
nike items,shopping
lenskart gear,shopping
fee unknown,other
BLINKIT snacks,food
uber ride,travel
zee5 rental,entertainment
bookmyshow rental,entertainment
airport ride,travel
bikanervala meal,food
hm order,shopping
revv toll,travel
hotstar event,entertainment
gaan class,entertainment
unknown UNKNOWN,other
zara basket,shopping
audible event,entertainment
payment hold,other
BUS fare,travel
amoun ENTRY,other
train SNACKS,travel
PRO sub,entertainment
lyft parking,travel
bookmysho entry,entertainment
revv transfer,travel
instamart thali,food
hold adjustment,other
kfc rice,food
rapido bookin,travel
flipkart GEAR,shopping
hm purchase,shopping
rapido COMMUTE,travel
decathlo WATCH,shopping
airport parcel,food
INDIGO ticket,travel
airindi trip,travel
ajio bag,shopping
ecs fee,other
train meal,food
myntra watch,shopping
mandate balance,other
paymen AUTO,other
adjustment HOLD,other
ecs debit,other
AUTO credit,other
xbox stream,entertainment
LENSKART bag,shopping
adjustment auto,other
sony music,entertainment
faasos lunch,food
ADJUSTMENT payment,other
bookmyshow rental,entertainment
unknow mandate,other
debi service,other
debit processing,other
airindi trip,travel
servic amount,other
zomato burger,food
lyft transfer,travel
hold renewa,other
netflix class,entertainment
transfer amount,other
bus PASS,travel
prime sub,entertainment
lenskart set,shopping
irctc fare,travel
bus fare,travel
airport milk,food
bikanervala SNACKS,food
AIRPORT meal,food
behrouz wrap,food
mcdonalds BIRYAN,food
GROCERY basket,shopping
train snack,travel
primevide entry,entertainment
BALANC PROCESSING,other
decathlon jacket,shopping
SONY music,entertainment
airport toll,travel
ZOOMCAR ticket,travel
behrouz burger,food
metro SEAT,travel
decathlon watch,shopping
entr txn,other
spicejet fare,travel
spicejet journey,travel
ola trip,travel
credit amount,other
prime sub,entertainment
entry charge,other
hm items,shopping
airport seat,travel
behrouz wrap,food
service TXN,other
dominos snacks,food
dmart basket,shopping
adjustment payment,other
flipkar GEAR,shopping
NIKE jacket,shopping
lenskart set,shopping
hotstar game,entertainment
fee entry,other
netflix class,entertainment
audible show,entertainment
ECS entry,other
MEESHO JACKET,shopping
youtube CONCERT,entertainment
meesh shoes,shopping
tacobell rice,food
grocery basket,shopping
lyft toll,travel
myntr set,shopping
flight snacks,travel
nike purchase,shopping
AIRPORT meal,food
train snacks,travel
FLIGH snacks,travel
faasos bread,food
charg ecs,other
ZARA jacket,shopping
zara items,shopping
flight snacks,travel
psplus subscription,entertainment
ola parking,travel
flight snacks,travel
irctc toll,travel
BEHROUZ biryani,food
ola ride,travel
pro sub,entertainment
ecs BALANCE,other
train snack,food
service payment,other
service misc,other
amazo jeans,shopping
nike jeans,shopping
bookmyshow entry,entertainment
vistara shuttle,travel
decathlon SET,shopping
kfc buffet,food
sony class,entertainment
train snacks,food
meesh watch,shopping
entry balance,other
pro sub,entertainment
irctc toll,travel
zee5 event,entertainment
amazon jeans,shopping
amazon shoe,shopping
amount ecs,other
ajio cart,shopping
flight snacks,travel
bus transfer,travel
misc PROCESSIN,other
ADIDAS items,shopping
prime sub,entertainment
swiggy roll,food
zee5 pass,entertainment
steam concer,entertainment
psplus concer,entertainment
trai PARKING,travel
flight snacks,travel
ecs credit,other
train snacks,travel
PAYMEN entry,other
ola ride,travel
dominos buffe,food
meesho order,shopping
INSTAMART BIRYANI,food
grocery basket,shopping
HOTSTAR ticket,entertainment
ecs MISC,other
airindi booking,travel
ecs renewal,other
XBOX class,entertainment
steam game,entertainment
service auto,other
plus sub,entertainment
instamart bread,food
youtube concert,entertainment
prime sub,entertainment
REVV journey,travel
unknown misc,other
ola shuttle,travel
PLUS sub,entertainment
decathlon bag,shopping
prime sub,entertainment
subway burge,food
hold transfer,other
ikea shoes,shopping
ZARA watch,shopping
ZEE5 ticke,entertainment
trai meal,food
nykaa cart,shopping
grocery basket,shopping
zoomcar journey,travel
PSPLUS ENTRY,entertainment
grocer basket,shopping
audible GAME,entertainment
indig journe,travel
bigbasket coffee,food
dmart baske,shopping
zee5 movie,entertainment
STARBUCKS roll,food
train meal,food
ikea SET,shopping
indigo booking,travel
txn unknown,other
BIKANERVALA coffee,food
processing auto,other
irctc ticket,travel
sony ticke,entertainment
entry unknown,other
nike jacket,shopping
uber toll,travel
mcdonalds milk,food
bigbasket buffet,food
dmart basket,shopping
instamart combo,food
txn DEBIT,other
train snacks,travel
flight snacks,travel
haldirams dinner,food
PRO sub,entertainment
PRO sub,entertainment
INDIG journey,travel
netflix pass,entertainment
fee hold,other
netfli stream,entertainment
faasos parcel,food
REVV booking,travel
SPOTIFY show,entertainment
decathlon CART,shopping
starbucks snacks,food
primevideo subscription,entertainment
bus JOURNEY,travel
vistara pass,travel
xbox pass,entertainment
xbox rental,entertainment
LYFT seat,travel
pro sub,entertainment
ajio ORDER,shopping
xbox rental,entertainment
airport seat,travel
flipkart jeans,shopping
primevideo subscription,entertainment
adjustment amount,other
ecs transfer,other
ecs adjustment,other
BIKANERVALA bread,food
HALDIRAMS thali,food
puma items,shopping
dmart basket,shopping
balanc fee,other
zomato snack,food
croma shirt,shopping
meesh shirt,shopping
IRCTC trip,travel
train booking,travel
zoomcar commute,travel
credit ecs,other
netflix SHOW,entertainment
ecs PROCESSING,other
flipkart ORDER,shopping
airpor meal,food
zomato PARCEL,food
renewa adjustment,other
indigo PASS,travel
plus SUB,entertainment
myntr cart,shopping
nike JEANS,shopping
xbox ticket,entertainment
sony subscription,entertainment
transfer fee,other
gaana game,entertainment
bikanervala pizza,food
amazon gear,shopping
sony event,entertainment
youtube music,entertainment
zara shirt,shopping
ubereats shake,food
prime sub,entertainment
zoomcar commute,travel
amazon item,shopping
GAANA concert,entertainment
faaso parcel,food
RAPIDO bookin,travel
lyft parking,travel
irctc COMMUTE,travel
airpor seat,travel
flight snacks,travel
dominos coffee,food
revv parking,travel
zoomcar fare,travel
HOTSTAR rental,entertainment
steam entry,entertainment
zara jacket,shopping
hotstar movie,entertainment
irctc fare,travel
airport meal,food
ZOOMCAR seat,travel
misc mandate,other
adjustment unknown,other
dominos SNACKS,food
flight snacks,travel
airindia booking,travel
airport snacks,food
adidas WATCH,shopping
blinki thali,food
fee fee,other
mcdonalds burger,food
zoomcar journey,travel
amoun credit,other
bigbasket brea,food
txn SERVICE,other
CROMA ITEMS,shopping
spiceje bookin,travel
ajio set,shopping
audible MUSIC,entertainment
nykaa purchase,shopping
puma basket,shopping
grocery basket,shopping
psplus stream,entertainment
steam RENTAL,entertainment
ADIDA watch,shopping
train commut,travel
behrouz thali,food
ikea SHIR,shopping
uber seat,travel
BIKANERVALA thali,food
adida items,shopping
plus sub,entertainment
spiceje TRANSFER,travel
adidas basket,shopping
zepto lunch,food
zee5 ticket,entertainment
primevideo subscription,entertainment
AJIO items,shopping
charge unknown,other
kfc buffe,food
adidas watch,shopping
balance misc,other
nykaa SET,shopping
train meal,food
bookmyshow musi,entertainment
haldiram MILK,food
revv seat,travel
swiggy parcel,food
train snacks,food
GAAN concert,entertainment
INDIGO commute,travel
AUDIBLE MOVIE,entertainment
box8 buffet,food
croma bag,shopping
AJIO shoes,shopping
uber parking,travel
adjustment misc,other
indigo shuttle,travel
nykaa watch,shopping
primevideo pass,entertainment
flight SNACKS,travel
croma items,shopping
flipkart watch,shopping
netflix concer,entertainment
NYKAA items,shopping
balance payment,other
starbucks roll,food
EATFIT roll,food
dmart BASKET,shopping
ubereats lunch,food
payment service,other
amoun PROCESSING,other
hm bag,shopping
spicejet parking,travel
payment adjustment,other
irct toll,travel
debit txn,other
vistara ride,travel
myntra jeans,shopping
hold ecs,other
transfer service,other
youtube ticket,entertainment
prime sub,entertainment
myntr jacket,shopping
dominos dinner,food
uber pass,travel
dmart basket,shopping
auto processing,other
flight snacks,travel
sony subscription,entertainment
haldirams meal,food
train snacks,travel
prime sub,entertainment
bus SHUTTLE,travel
pro sub,entertainment
plus sub,entertainment
trai snacks,food
bigbasket biryani,food
trai meal,food
croma shoes,shopping
HALDIRAMS milk,food
renewal CHARGE,other
STEAM stream,entertainment
airindia shuttl,travel
TACOBEL SHAKE,food
zee5 show,entertainment
amount SERVICE,other
plus sub,entertainment
zara purchase,shopping
zoomcar commute,travel
puma basket,shopping
AUDIBLE stream,entertainment
train meal,food
croma cart,shopping
zoomcar seat,travel
service unknown,other
lenskart basket,shopping
zepto dinne,food
bookmyshow entry,entertainment
spotify renta,entertainment
steam concert,entertainment
ZEE5 rental,entertainment
processing txn,other
grocery basket,shopping
airport meal,food
faasos bread,food
LYFT seat,travel
zomato rice,food
prim SUB,entertainment
grocery basket,shopping
train snacks,travel
ZEE5 even,entertainment
ajio shoes,shopping
hm gear,shopping
flipkart ORDER,shopping
transfer service,other
airport MEAL,food
PUMA CART,shopping
rapid FARE,travel
netflix ticket,entertainment
plus sub,entertainment
MISC adjustment,other
bikanervala thali,food
train snacks,travel
plus sub,entertainment
ubereats SNACKS,food
uber pass,travel
decathlon ORDER,shopping
steam SUBSCRIPTION,entertainment
AUTO txn,other
primevideo show,entertainment
train snacks,travel
hotstar STREAM,entertainment
train snacks,travel
flight snacks,travel
sony SHOW,entertainment
ZOMATO meal,food
PROCESSING TXN,other
AIRPORT commute,travel
nike set,shopping
ADJUSTMENT renewal,other
train commute,travel
hotsta music,entertainment
ola transfe,travel
bikanervala meal,food
GROCERY BASKET,shopping
AJIO ORDER,shopping
HALDIRAMS biryani,food
SPICEJET TICKET,travel
lenskart gear,shopping
payment charge,other
REVV seat,travel
lyft JOURNEY,travel
netflix GAME,entertainment
revv JOURNEY,travel
flight snacks,travel
netflix ticket,entertainment
SPICEJET booking,travel
netfli movie,entertainment
plus sub,entertainment
ecs amount,other
amount ecs,other
ajio shirt,shopping
zoomca journey,travel
ajio baske,shopping
airport pizza,food
hold unknown,other
lenskart shoe,shopping
kfc snacks,food
credi DEBIT,other
zara watch,shopping
audibl CONCERT,entertainment
airport wrap,food
prim sub,entertainment
AUDIBLE pass,entertainment
misc hold,other
PROCESSING transfer,other
meesho shoes,shopping
FAASOS wrap,food
ADIDAS jeans,shopping
kfc meal,food
MANDATE misc,other
zomat ROLL,food
transfer entry,other
train snacks,food
psplus ticke,entertainment
netflix TICKE,entertainment
zepto snacks,food
flipkart cart,shopping
trai snacks,travel
prime sub,entertainment
fee txn,other
sony stream,entertainment
gaana RENTAL,entertainment
zomato pizz,food
dmart basket,shopping
myntra bag,shopping
amount entry,other
ecs adjustment,other
MISC servic,other
tacobel pizz,food
xbox subscription,entertainment
payment debit,other
prime sub,entertainment
dominos BIRYANI,food
zee5 music,entertainment
lyft parking,travel
kfc shake,food
HOLD adjustmen,other
nike jacket,shopping
debit payment,other
bookmysho show,entertainment
meesho jeans,shopping
fee HOLD,other
xbox pass,entertainment
lyft TRANSFER,travel
vistara shuttle,travel
unknown fee,other
PSPLU subscription,entertainment
TRAIN snacks,food
ecs txn,other
zepto pizza,food
myntr cart,shopping
bookmyshow event,entertainment
ajio jean,shopping
airindia journe,travel
renewal auto,other
zee5 class,entertainment
haldirams burge,food
servic misc,other
psplus class,entertainment
pro SUB,entertainment
spotify game,entertainment
airindia parkin,travel
GAANA entry,entertainment
primevide concert,entertainment
hm gear,shopping
fee misc,other
tacobell dinne,food
subway lunch,food
zee5 rental,entertainment
revv fare,travel
grocery basket,shopping
hm set,shopping
xbox stream,entertainment
entry credi,other
zee5 show,entertainment
zee5 CLASS,entertainment
revv booking,travel
train SNACKS,travel
primevideo stream,entertainment
service renewal,other
blinkit SHAKE,food
charg misc,other
dominos dinner,food
renewal debit,other
hold misc,other
fee entry,other
train meal,food
LYFT trip,travel
flight snack,travel
train snacks,travel
balance service,other
zomato biryani,food
hotstar class,entertainment
PRIMEVIDEO concert,entertainment
pro sub,entertainment
airpor snacks,food
netflix game,entertainment
HOLD fee,other
kfc wrap,food
payment mandate,other
tacobel lunch,food
HM JACKET,shopping
zepto burger,food
FLIPKART purchase,shopping
dmart basket,shopping
box8 DINNER,food
zoomcar journey,travel
subway bread,food
lyft parking,travel
starbucks COMBO,food
zoomcar COMMUTE,travel
TRAIN seat,travel
eatfit pizza,food
RENEWAL credit,other
payment adjustment,other
service fee,other
ZEE5 game,entertainment
hm jacket,shopping
meesho items,shopping
EATFIT bread,food
payment transfe,other
MEESHO purchase,shopping
LYFT booking,travel
txn transfer,other
vistar pass,travel
airindia pass,travel
TRAIN snacks,travel
NETFLIX entry,entertainment
youtube TICKET,entertainment
MYNTRA jacket,shopping
ubereats rice,food
amount credit,other
GROCERY basket,shopping
primevideo renta,entertainment
audible stream,entertainment
instamart wrap,food
myntr orde,shopping
audible game,entertainment
train trip,travel
dmart basket,shopping
MEESHO cart,shopping
audible rental,entertainment
misc misc,other
txn debi,other
swigg snacks,food
xbox stream,entertainment
ola toll,travel
PRO sub,entertainment
behrouz buffet,food
adjustment balance,other
zomato biryan,food
hm ORDER,shopping
CHARGE service,other
zee5 class,entertainment
adjustmen credit,other
adidas jacket,shopping
zoomcar commute,travel
vistara booking,travel
train meal,food
bookmyshow subscription,entertainment
airport pass,travel
myntra bag,shopping
plus sub,entertainment
hold FEE,other
psplu stream,entertainment
hold TRANSFER,other
IKEA SHOES,shopping
spicejet toll,travel
instamar rice,food
DECATHLON bag,shopping
processing ecs,other
train snacks,food
audible class,entertainment
nike jean,shopping
train snacks,travel
rapido TRANSFER,travel
irctc parking,travel
audible entry,entertainment
RAPIDO pass,travel
amoun balanc,other
irctc pass,travel
flight snacks,travel
MISC HOLD,other
hm set,shopping
credit payment,other
paymen charge,other
bigbasket SHAKE,food
fee entry,other
meesho basket,shopping
FLIPKART bag,shopping
entry UNKNOWN,other
airpor milk,food
transfe fee,other
TRANSFER processing,other
uber trip,travel
irctc journey,travel
uber seat,travel
INDIGO pass,travel
zara set,shopping
charg credit,other
fee processin,other
zoomcar seat,travel
stea RENTAL,entertainment
bikanervala thali,food
ZEE5 renta,entertainment
unknown payment,other
subway wrap,food
MYNTRA gear,shopping
prime sub,entertainment
spotify GAME,entertainment
dmart BASKET,shopping
ola trip,travel
misc processing,other
misc mandat,other
train seat,travel
dmar basket,shopping
myntra CART,shopping
unknown entry,other
renewal MANDATE,other
ikea basket,shopping
airport BUFFET,food
bikanervala coffee,food
adidas shirt,shopping
credi payment,other
primevideo ticket,entertainment
AUTO ecs,other
grocery basket,shopping
prime sub,entertainment
youtube show,entertainment
xbox MUSIC,entertainment
puma WATCH,shopping
steam game,entertainment
subway pizza,food
processing balance,other
croma bag,shopping
BOOKMYSHOW concert,entertainment
credit ecs,other
bookmyshow subscription,entertainment
croma jeans,shopping
misc transfer,other
lenskart gear,shopping
hotstar renta,entertainment
subway COMBO,food
psplus concert,entertainment
hotstar movie,entertainment
PRO sub,entertainment
zara GEAR,shopping
haldiram coffe,food
xbox ticket,entertainment
zepto bread,food
FLIGHT snacks,travel
service ecs,other
indig fare,travel
rapido seat,travel
credit processing,other
dmar basket,shopping
ecs unknown,other
RAPIDO booking,travel
decathlo items,shopping
dmart basket,shopping
zomat coffee,food
airindia pass,travel
blinkit PARCEL,food
airport snacks,food
debit fee,other
unknown ecs,other
kfc lunch,food
airport thali,food
BALANC amount,other
starbucks wrap,food
primevideo event,entertainment
dominos lunch,food
youtube ticke,entertainment
prime sub,entertainment
plus sub,entertainment
zee5 show,entertainment
processin renewal,other
airport combo,food
processing balance,other
BALANCE ENTRY,other
indigo toll,travel
zee5 rental,entertainment
bus BOOKING,travel
indigo SHUTTLE,travel
grocery basket,shopping
faasos SHAKE,food
flight snacks,travel
train SNACKS,travel
DMART basket,shopping
meesh watch,shopping
NYKAA SHOES,shopping
nykaa shirt,shopping
dmart basket,shopping
prime sub,entertainment
airport snacks,food
FEE processing,other
eatfit meal,food
stea stream,entertainment
uber booking,travel
plus sub,entertainment
pro sub,entertainment
irctc transfer,travel
grocer baske,shopping
VISTARA ticket,travel
primevide music,entertainment
bigbaske lunch,food
